"Date","Price","Open","High","Low","Vol.","Change %"
"08/13/2024","96.480","96.465","96.480","96.460","9.24K","0.01%"
"08/12/2024","96.470","96.460","96.470","96.455","11.17K","0.02%"
"08/09/2024","96.455","96.465","96.470","96.455","7.56K","-0.01%"
"08/08/2024","96.460","96.475","96.475","96.455","15.53K","0.00%"
"08/07/2024","96.460","96.465","96.475","96.450","8.01K","-0.02%"
"08/06/2024","96.475","96.475","96.495","96.430","16.32K","-0.01%"
"08/05/2024","96.485","96.485","96.560","96.470","14.74K","0.02%"
"08/02/2024","96.465","96.430","96.490","96.425","14.09K","0.04%"
"08/01/2024","96.430","96.425","96.430","96.420","7.17K","0.01%"
"07/31/2024","96.425","96.425","96.435","96.420","16.78K","0.00%"
"07/30/2024","96.425","96.415","96.435","96.415","11.02K","0.01%"
"07/29/2024","96.415","96.410","96.425","96.405","19.45K","0.01%"
"07/26/2024","96.405","96.400","96.410","96.400","17.98K","0.00%"
"07/25/2024","96.405","96.400","96.415","96.395","10.94K","0.01%"
"07/24/2024","96.400","96.400","96.405","96.395","18.91K","0.01%"
"07/23/2024","96.395","96.390","96.400","96.385","7.44K","0.01%"
"07/22/2024","96.390","96.395","96.400","96.385","9.92K","-0.01%"
"07/19/2024","96.400","96.415","96.415","96.395","10.84K","-0.01%"
"07/18/2024","96.410","96.415","96.415","96.400","39.58K","0.00%"
"07/17/2024","96.410","96.425","96.425","96.410","19.90K","-0.02%"
"07/16/2024","96.425","96.420","96.425","96.420","12.42K","0.09%"
"07/15/2024","96.338","96.330","96.335","96.330","1.74K","0.01%"
"07/12/2024","96.330","96.320","96.335","96.315","31.81K","0.01%"
"07/11/2024","96.320","96.315","96.320","96.310","28.86K","0.01%"
"07/10/2024","96.315","96.315","96.315","96.310","7.16K","0.00%"
"07/09/2024","96.315","96.315","96.315","96.310","16.33K","-0.01%"
"07/08/2024","96.320","96.320","96.320","96.310","10.76K","0.00%"
"07/05/2024","96.320","96.320","96.325","96.315","15.76K","0.00%"
"07/04/2024","96.320","96.325","96.325","96.315","8.56K","-0.01%"
"07/03/2024","96.325","96.320","96.330","96.320","11.60K","0.00%"
"07/02/2024","96.325","96.330","96.335","96.320","15.19K","-0.01%"
"07/01/2024","96.330","96.340","96.340","96.325","27.06K","-0.01%"
"06/28/2024","96.340","96.340","96.345","96.335","33.07K","-0.01%"
"06/27/2024","96.345","96.335","96.355","96.335","32.10K","0.01%"
"06/26/2024","96.340","96.345","96.350","96.340","74.58K","-0.01%"
"06/25/2024","96.345","96.335","96.345","96.330","43.30K","0.02%"
"06/24/2024","96.330","96.325","96.335","96.325","18.02K","0.01%"
"06/21/2024","96.325","96.310","96.330","96.310","14.58K","0.01%"
"06/20/2024","96.315","96.300","96.315","96.295","22.95K","0.01%"
"06/19/2024","96.305","96.300","96.310","96.300","12.08K","0.00%"
"06/18/2024","96.305","96.305","96.310","96.300","19.12K","0.02%"
"06/17/2024","96.289","96.285","96.285","96.280","31.14K","0.01%"
"06/14/2024","96.280","96.270","96.285","96.265","201.00K","0.01%"
"06/13/2024","96.275","96.265","96.280","96.265","200.92K","0.00%"
"06/12/2024","96.275","96.260","96.275","96.255","241.51K","0.02%"
"06/11/2024","96.260","96.255","96.260","96.250","131.74K","0.00%"
"06/10/2024","96.260","96.250","96.260","96.250","97.79K","0.01%"
"06/07/2024","96.255","96.255","96.260","96.245","121.14K","0.00%"
"06/06/2024","96.255","96.265","96.270","96.250","207.29K","-0.01%"
"06/05/2024","96.265","96.260","96.270","96.255","136.12K","0.01%"
"06/04/2024","96.260","96.250","96.265","96.250","164.66K","0.01%"
"06/03/2024","96.250","96.245","96.260","96.245","132.25K","0.01%"
"05/31/2024","96.245","96.265","96.270","96.235","275.67K","-0.02%"
"05/30/2024","96.260","96.260","96.265","96.250","85.24K","0.00%"
"05/29/2024","96.260","96.255","96.265","96.250","132.56K","0.01%"
"05/28/2024","96.255","96.255","96.260","96.250","109.19K","0.00%"
"05/27/2024","96.255","96.240","96.260","96.235","112.73K","0.02%"
"05/24/2024","96.240","96.245","96.255","96.230","167.80K","-0.01%"
"05/23/2024","96.250","96.255","96.260","96.240","201.30K","-0.01%"
"05/22/2024","96.255","96.260","96.265","96.245","138.14K","-0.01%"
"05/21/2024","96.260","96.265","96.270","96.260","95.32K","-0.01%"
"05/20/2024","96.265","96.265","96.270","96.260","70.84K","0.00%"
"05/17/2024","96.265","96.270","96.280","96.255","244.91K","-0.01%"
"05/16/2024","96.275","96.290","96.295","96.270","123.27K","-0.02%"
"05/15/2024","96.290","96.270","96.295","96.270","175.59K","0.01%"
"05/14/2024","96.280","96.285","96.285","96.270","125.51K","0.11%"
"05/13/2024","96.172","96.190","96.195","96.190","2.18K","-0.02%"
"05/10/2024","96.190","96.200","96.205","96.190","29.39K","-0.02%"
"05/09/2024","96.205","96.200","96.205","96.200","8.10K","0.01%"
"05/08/2024","96.200","96.205","96.210","96.200","7.86K","-0.01%"
"05/07/2024","96.210","96.200","96.215","96.200","18.30K","0.01%"
"05/06/2024","96.205","96.205","96.210","96.200","2.99K","0.00%"
"05/03/2024","96.205","96.205","96.210","96.200","15.59K","0.00%"
"05/02/2024","96.205","96.200","96.205","96.195","20.84K","0.00%"
"04/30/2024","96.205","96.200","96.205","96.195","24.41K","0.00%"
