"Date","Price","Open","High","Low","Vol.","Change %"
"12/02/2024","121.06","121.50","121.80","120.22","0.69K","1.60%"
"11/29/2024","119.15","116.52","119.61","115.81","1.33K","1.75%"
"11/28/2024","117.10","117.50","118.50","117.00","0.42K","-1.34%"
"11/27/2024","118.69","116.90","118.83","116.90","0.53K","-1.20%"
"11/26/2024","120.13","120.50","123.04","117.26","0.62K","-1.00%"
"11/25/2024","121.34","119.60","123.82","119.50","1.02K","2.19%"
"11/22/2024","118.73","122.85","124.13","118.40","0.71K","-2.79%"
"11/21/2024","122.14","120.00","123.10","120.00","1.30K","3.35%"
"11/20/2024","118.18","115.09","119.19","115.09","0.74K","2.15%"
"11/19/2024","115.69","118.04","119.40","115.65","0.85K","-2.68%"
"11/18/2024","118.88","114.91","119.20","114.91","0.91K","0.98%"
"11/15/2024","117.72","116.10","119.50","115.40","1.59K","0.84%"
"11/14/2024","116.73","115.40","117.25","114.16","2.07K","5.35%"
"11/13/2024","110.80","109.98","111.50","108.19","1.51K","-1.03%"
"11/12/2024","111.96","109.39","112.25","109.27","1.29K","1.53%"
"11/11/2024","110.27","107.10","111.22","107.10","1.37K","2.62%"
"11/08/2024","107.46","107.53","108.66","106.83","1.57K","2.40%"
"11/07/2024","104.94","103.88","105.90","103.01","1.48K","2.08%"
"11/06/2024","102.80","102.00","103.65","99.61","1.34K","-0.93%"
"11/05/2024","103.77","104.70","105.50","103.45","1.23K","0.23%"
"11/04/2024","103.53","102.17","104.21","101.83","0.77K","2.94%"
"11/01/2024","100.57","100.60","104.00","99.27","1.44K","-3.85%"
"10/31/2024","104.60","105.85","106.10","99.00","1.83K","-0.80%"
"10/30/2024","105.44","107.76","108.75","105.41","1.33K","-3.49%"
"10/29/2024","109.26","109.75","111.10","108.20","0.97K","0.55%"
"10/28/2024","108.67","109.01","109.01","107.10","1.21K","-2.41%"
"10/25/2024","111.35","109.00","111.56","108.25","1.24K","2.95%"
"10/24/2024","108.16","107.50","109.00","107.30","1.27K","2.00%"
"10/23/2024","106.04","104.76","107.00","104.43","1.83K","1.51%"
"10/22/2024","104.46","102.70","105.22","102.60","1.15K","1.40%"
"10/21/2024","103.01","102.25","103.50","102.19","2.31K","1.85%"
"10/18/2024","101.14","101.75","101.75","100.57","1.05K","-0.84%"
"10/17/2024","102.00","102.40","103.10","101.53","1.68K","0.51%"
"10/16/2024","101.48","104.00","104.00","101.43","1.23K","-1.24%"
"10/15/2024","102.75","102.49","103.31","100.70","1.23K","-1.84%"
"10/14/2024","104.68","102.50","104.93","101.80","0.89K","1.13%"
"10/11/2024","103.51","103.51","104.90","102.90","1.06K","-0.83%"
"10/10/2024","104.37","100.75","104.54","100.75","1.36K","4.54%"
"10/09/2024","99.84","101.40","101.84","99.45","1.18K","-1.88%"
"10/08/2024","101.75","104.37","104.37","100.99","1.29K","-2.99%"
"10/07/2024","104.88","104.05","106.21","103.00","1.04K","-1.00%"
"10/04/2024","105.94","103.00","106.44","102.90","1.65K","2.18%"
"10/03/2024","103.68","99.56","103.91","99.56","1.51K","3.41%"
"10/02/2024","100.26","102.50","102.50","100.05","1.57K","-1.17%"
"10/01/2024","101.45","99.50","102.51","97.40","1.78K","0.76%"
"09/30/2024","100.69","101.80","101.80","99.80","1.22K","5.39%"
"09/27/2024","95.54","94.71","95.57","94.71","0.06K","0.61%"
"09/26/2024","94.96","93.08","95.10","92.10","0.40K","1.25%"
"09/25/2024","93.79","91.00","94.42","90.92","0.31K","5.06%"
"09/24/2024","89.28","91.20","91.30","88.81","0.40K","-2.17%"
"09/23/2024","91.26","89.25","91.46","88.07","0.28K","3.98%"
"09/20/2024","87.77","86.30","89.67","86.30","0.50K","3.63%"
"09/19/2024","84.69","92.58","93.84","84.16","0.49K","-6.72%"
"09/18/2024","90.79","90.92","92.10","89.50","0.73K","-0.75%"
"09/17/2024","91.47","88.05","91.75","88.05","0.75K","4.21%"
"09/16/2024","87.78","90.00","90.00","87.89","1.29K","-4.57%"
"09/13/2024","91.99","92.46","93.20","91.21","0.37K","1.00%"
"09/12/2024","91.08","92.75","92.75","90.46","0.31K","-2.98%"
"09/11/2024","93.87","91.93","94.01","90.39","0.23K","2.08%"
"09/10/2024","91.96","98.09","98.09","90.94","0.56K","-4.97%"
"09/09/2024","96.77","95.00","96.91","95.00","0.23K","1.96%"
"09/06/2024","94.92","96.40","97.50","94.96","0.44K","0.60%"
"09/05/2024","94.36","93.61","95.25","93.51","1.09K","0.76%"
"09/04/2024","93.64","95.68","96.25","93.22","1.18K","-3.25%"
"09/03/2024","96.79","98.72","98.72","96.21","0.88K","-3.37%"
"09/02/2024","100.16","102.30","102.30","100.10","0.60K","-2.77%"
"08/30/2024","103.01","102.62","104.25","101.85","0.73K","1.73%"
"08/29/2024","101.27","102.62","102.62","99.75","0.27K","-0.53%"
"08/28/2024","101.80","103.83","103.83","101.60","0.30K","-0.69%"
"08/27/2024","102.51","101.10","102.89","100.70","0.50K","3.32%"
"08/23/2024","99.21","100.14","100.36","97.96","0.66K","0.35%"
"08/22/2024","98.86","101.00","101.17","97.90","0.44K","-1.31%"
"08/21/2024","100.18","103.69","103.69","99.95","0.80K","-2.52%"
"08/20/2024","102.77","106.96","107.50","102.24","0.44K","-4.58%"
"08/19/2024","107.70","107.76","109.10","107.25","0.28K","-0.35%"
"08/16/2024","108.08","108.89","108.89","106.96","1.10K","-0.17%"
