date,horizon_days,pnl_realized,VaR_energy,IM_energy,VaR_financials,IM_financials,AddOn_liquidity,IM_total,breach_var,breach_im
2025-08-21,2,-40353.02707787756,97246.69875740082,102109.03369527087,85917.54819605661,90213.42560585945,368656.0938586864,560978.5531598167,False,False
2025-08-22,2,-4240.684976083327,98938.76181248737,103885.69990311174,85849.00550682722,90141.45578216859,386529.6743134291,580556.8299987095,False,False
2025-08-25,2,49687.65458238883,,0.0,,0.0,153873.12795332557,153873.12795332557,False,False
2025-08-26,2,4478.030377411388,101618.39246856666,106699.312091995,85692.95853108731,89977.60645764168,365285.8270889911,561962.7456386278,False,False
2025-08-27,2,5682.884955415076,100990.61753876021,106040.14841569823,85625.23456190768,89906.49629000307,370953.4974654451,566900.1421711463,False,False
2025-08-28,2,-11839.298464668482,102331.7165491331,107448.30237658975,85507.85431853784,89783.24703446473,385340.0148449724,582571.5642560269,False,False
2025-08-29,2,-25630.58200841125,101212.11690385023,106272.72274904275,85421.35261498664,89692.42024573598,384700.82027643366,580665.9632712124,False,False
2025-09-01,2,5589.471232611424,99774.4868213301,104763.2111623966,85353.16965654664,89620.82813937397,385418.43914332974,579802.4784451004,False,False
2025-09-02,2,20430.85766824538,95885.61167494707,100679.89225869442,85266.81454133104,89530.1552683976,387006.3941529093,577216.4416800013,False,False
2025-09-03,2,38044.395215971694,98399.04192827415,103318.99402468787,85234.94155651836,89496.68863434427,385797.3827587996,578613.0654178318,False,False
2025-09-04,2,20466.76129599236,99254.49461596798,104217.21934676639,85198.66261562055,89458.59574640158,392400.4946567219,586076.3097498899,False,False
2025-09-05,2,-24053.192535238526,92507.90854788464,97133.30397527888,85179.5799124686,89438.55890809203,385150.25236740644,571722.1152507773,False,False
2025-09-08,2,-101486.22822023832,90709.71648842249,95245.20231284363,85136.64665150332,89393.4789840785,382655.9604047281,567294.6417016502,False,False
2025-09-09,2,-60698.347816794376,97630.48543615061,102512.00970795815,85051.91234674497,89304.50796408222,396992.16277400655,588808.6804460469,False,False
2025-09-10,2,30854.135447628258,95027.74773147509,99779.13511804884,85079.78246249228,89333.7715856169,379441.9356112791,568554.8423149448,False,False
2025-09-11,2,-17898.69492754581,93207.89673450658,97868.29157123191,84992.93834945216,89242.58526692477,348109.1555477864,535220.032385943,False,False
2025-09-12,2,-31260.02059165974,96161.68338770278,100969.76755708792,84920.69647657257,89166.73130040121,320248.81808896165,510385.3169464508,False,False
2025-09-15,2,-3033.319286048746,96603.7477899824,101433.93517948153,84878.76170472015,89122.69978995615,311169.31441115175,501725.9493805894,False,False
2025-09-16,2,-35883.03018933775,92994.4547387538,97644.1774756915,84818.69861895897,89059.63354990692,311083.4331018326,497787.244127431,False,False
2025-09-17,2,-21640.6718618289,91808.31866611681,96398.73459942266,84745.36838759707,88982.63680697694,300477.5543144876,485858.9257208872,False,False
2025-09-18,2,31641.047708549067,89642.95750509185,94125.10538034645,84860.77890274051,89103.81784787754,265862.8524670944,449091.77569531836,False,False
2025-09-19,2,-15660.494232859608,88050.56868570161,92453.09711998669,85036.90199745409,89288.74709732679,249648.32354565425,431390.16776296776,False,False
2025-09-22,2,-42886.33817076825,90035.65766182289,94537.44054491403,85116.11567205889,89371.92145566184,241764.2831978445,425673.6451984204,False,False
2025-03-13,5,-58869.09400156487,0.0,0.0,125024.72334120629,131275.95950826662,435623.190544868,566899.1500531347,False,False
2025-03-14,5,-46630.49124958183,0.0,0.0,124920.9242030428,131166.97041319494,446786.16563484224,577953.1360480372,False,False
2025-03-17,5,-64956.73699584168,0.0,0.0,124779.35195526085,131018.3195530239,456368.00846024335,587386.3280132673,False,False
2025-03-18,5,-131488.54665449046,0.0,0.0,124961.90965979767,131210.00514278756,475107.95582726627,606317.9609700538,False,False
2025-03-19,5,-3309.200116294487,0.0,0.0,125622.08797886978,131903.19237781328,500036.4582669687,631939.650644782,False,False
2025-03-20,5,-5766.4203305663505,0.0,0.0,126227.64944552952,132539.031917806,449280.11862538237,581819.1505431883,False,False
2025-03-21,5,15046.577527452482,0.0,0.0,126372.32509878828,132690.94135372769,431347.5332716958,564038.4746254234,False,False
